AAM,ea
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],72.7856216808652
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],70.6485663882058
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],53.9428521642703
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],122.813025377603
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],78.94281051011991
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],81.87062186814059
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],44.1522858723921
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],46.676527028475796
[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9]>>[C:1](=[N:2][C@:3]1([H:10])[N:4]([H:11])[C@@:5]1([O:6][H:7])[H:12])([H:8])[H:9],88.8578965510492
[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([O:2][C:3]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],79.4160915206311
